FIPS.STATE	FIPS.COUNTY90	STUB.GEO	P0010001	P0450001	P0450002	P0450003	P0460001	P0460002	P0460003	P0470001	P0470002	P0470003	P0470004	P0470005	P0470006	P0470007	P0470008	P0480001	P0480002	P0480003	P1540001	P1540002	P1540003	P1540004
06	001	Alameda County	001279182	000446162	000184741	000002288	000215352	000411343	000006496	000187584	000294099	000089086	000061583	000000839	000000000	000000000	000000000	000000000	000000000	000633191	000168762	000052297		000000000
06	003	Alpine County	000001113	000000314	000000055	000000135	000000000	000000000	000000504	000000000	000000000	000000000	000000000	000000000	000000022	000000033	000000449	000000000	000000000	000000504	000000420	000000070		000000000
06	005	Amador County	000030039	000007931	000002517	000000020	000001514	000002301	000006653	000000000	000000000	000000000	000000000	000000000	000001072	000001137	000008259	000000000	000000000	000010468	000008438	000000566		000000000
06	007	Butte County	000182120	000063743	000005695	000000123	000019951	000025312	000024298	000028428	000035315	000001359	000002187	000002272	000000000	000000000	000000000	000000000	000000000	000069561	000039924	000004732		000000000
06	009	Calaveras County	000031998	000007338	000004408	000000039	000001582	000001936	000008267	000000000	000000000	000000000	000000000	000000000	000001655	000001280	000008850	000000000	000000000	000011785	000008751	000000898		000000000
06	011	Colusa County	000016275	000005608	000000875	000000005	000001658	000001879	000002951	000000000	000000000	000000000	000000000	000000000	000000306	000000450	000005732	000000000	000000000	000006488	000005337	000000632		000000000
06	013	Contra Costa County	000803732	000239908	000159389	000001876	000080044	000297907	000023222	000048174	000275259	000057279	000019630	000000831	000000000	000000000	000000000	000000000	000000000	000401173	000117771	000026059		000000000
06	015	Del Norte County	000023460	000007216	000000141	000000270	000001108	000001959	000004560	000000000	000000000	000000000	000000000	000000000	000000025	000000044	000007558	000000000	000000000	000007627	000006904	000000332		000000000
06	017	El Dorado County	000125995	000033200	000018313	000006034	000009825	000017655	000030067	000006795	000042971	000000764	000000881	000006136	000000000	000000000	000000000	000000000	000000000	000057547	000041321	000005352		000000000
06	019	Fresno County	000667490	000250765	000014045	000000587	000130617	000072405	000062375	000163325	000087440	000003191	000004819	000006622	000000000	000000000	000000000	000000000	000000000	000265397	000091336	000022541		000000000
06	021	Glenn County	000024798	000007532	000002122	000000044	000002422	000002499	000004777	000000000	000000000	000000000	000000000	000000000	000001048	000000616	000008034	000000000	000000000	000009698	000007583	000000790		000000000
06	023	Humboldt County	000119118	000049418	000000890	000000160	000015239	000021013	000014216	000000000	000000000	000000000	000000000	000000000	000000260	000000251	000049957	000000000	000000000	000050468	000044229	000003680		000000000
06	025	Imperial County	000109303	000033685	000001480	000000740	000014142	000014288	000007475	000000000	000000000	000000000	000000000	000000000	000000771	000001247	000033887	000000000	000000000	000035905	000031408	000002733		000000000
06	027	Inyo County	000018281	000007078	000000497	000000021	000001869	000003127	000002600	000000000	000000000	000000000	000000000	000000000	000000038	000000183	000007375	000000000	000000000	000007596	000006812	000000427		000000000
06	029	Kern County	000543477	000201206	000011703	000000616	000081019	000076662	000055844	000089645	000111561	000003341	000008209	000000769	000000000	000000000	000000000	000000000	000000000	000213525	000111323	000015555		000000000
06	031	Kings County	000101469	000031244	000005396	000000303	000011353	000013696	000011894	000000000	000000000	000000000	000000000	000000000	000002309	000002986	000031648	000000000	000000000	000036943	000030552	000003404		000000000
06	033	Lake County	000050631	000014233	000002531	000000042	000003538	000005567	000007701	000000000	000000000	000000000	000000000	000000000	000000782	000001212	000014812	000000000	000000000	000016806	000013717	000001348		000000000
06	035	Lassen County	000027598	000007917	000000848	000000242	000002081	000001245	000005681	000000000	000000000	000000000	000000000	000000000	000000259	000000266	000008482	000000000	000000000	000009007	000007933	000000533		000000000
06	037	Los Angeles County	008863164	003872310	000229900	000013038	001619198	002406900	000089150	002082063	001790247	000053729	000183490	000005719	000000000	000000000	000000000	000000000	000000000	004115248	001205054	000458377		000000000
06	039	Madera County	000088090	000023051	000009475	000000084	000008034	000011863	000012713	000000000	000000000	000000000	000000000	000000000	000006452	000002801	000023357	000000000	000000000	000032610	000023796	000002609		000000000
06	041	Marin County	000230096	000073235	000051159	000000686	000028438	000084054	000012588	000033690	000076474	000006955	000007645	000000316	000000000	000000000	000000000	000000000	000000000	000125080	000036227	000008302		000000000
06	043	Mariposa County	000014302	000004486	000001241	000000007	000000219	000000504	000005011	000000000	000000000	000000000	000000000	000000000	000000466	000000359	000004909	000000000	000000000	000005734	000004683	000000514		000000000
06	045	Mendocino County	000080345	000032604	000001681	000000094	000007759	000003867	000022753	000000000	000000000	000000000	000000000	000000000	000000409	000001008	000032962	000000000	000000000	000034379	000029091	000002696		000000000
06	047	Merced County	000178403	000058330	000010225	000000142	000023262	000025138	000020297	000023699	000034631	000004562	000004898	000000907	000000000	000000000	000000000	000000000	000000000	000068697	000042616	000005703		000000000
06	049	Modoc County	000009678	000002830	000000452	000000203	000000901	000000293	000002291	000000000	000000000	000000000	000000000	000000000	000000020	000000129	000003336	000000000	000000000	000003485	000002999	000000303		000000000
06	051	Mono County	000009956	000005080	000000505	000000085	000002579	000000462	000002629	000000000	000000000	000000000	000000000	000000000	000000073	000000026	000005571	000000000	000000000	000005670	000004863	000000279		000000000
06	053	Monterey County	000355660	000151520	000011851	000000899	000062276	000072382	000029612	000087534	000063986	000002895	000008479	000001376	000000000	000000000	000000000	000000000	000000000	000164270	000065370	000015349		000000000
06	055	Napa County	000110765	000038431	000012945	000000197	000020610	000019994	000010969	000026185	000018051	000002554	000004618	000000165	000000000	000000000	000000000	000000000	000000000	000051573	000019393	000003652		000000000
06	057	Nevada County	000078510	000024872	000006824	000000828	000003619	000008543	000020362	000000000	000000000	000000000	000000000	000000000	000001969	000005508	000025047	000000000	000000000	000032524	000025358	000002311		000000000
06	059	Orange County	002410556	001043418	000230537	000004706	000311890	000941227	000025544	000250056	000793362	000095240	000138223	000001780	000000000	000000000	000000000	000000000	000000000	001278661	000360137	000104066		000000000
06	061	Placer County	000172796	000046601	000033504	000001417	000015064	000036738	000029720	000027675	000048751	000001103	000002635	000001358	000000000	000000000	000000000	000000000	000000000	000081522	000035314	000005740		000000000
06	063	Plumas County	000019739	000006880	000000438	000000336	000002766	000001071	000003817	000000000	000000000	000000000	000000000	000000000	000000305	000000171	000007178	000000000	000000000	000007654	000006568	000000534		000000000
06	065	Riverside County	001170413	000340095	000140407	000002116	000139940	000275490	000067188	000119891	000263786	000038040	000059757	000001144	000000000	000000000	000000000	000000000	000000000	000482618	000233396	000039771		000000000
06	067	Sacramento County	001041219	000424777	000055666	000001878	000159410	000281131	000041780	000242928	000218649	000009543	000009453	000001748	000000000	000000000	000000000	000000000	000000000	000482321	000128929	000033435		000000000
06	069	San Benito County	000036697	000010772	000005729	000000029	000004500	000005163	000006867	000000000	000000000	000000000	000000000	000000000	000001937	000003796	000010797	000000000	000000000	000016530	000011398	000001602		000000000
06	071	San Bernardino County	001418380	000406361	000188306	000002663	000144969	000380916	000071445	000096704	000351047	000055812	000092340	000001427	000000000	000000000	000000000	000000000	000000000	000597330	000270094	000049139		000000000
06	073	San Diego County	002498016	001187997	000032274	000010175	000618668	000544400	000067378	000713210	000474787	000012138	000024041	000006270	000000000	000000000	000000000	000000000	000000000	001230446	000321151	000094816		000000000
06	075	San Francisco County	000723959	000307400	000073320	000001589	000307400	000074909	000000000	000307400	000037613	000017694	000019025	000000577	000000000	000000000	000000000	000000000	000000000	000382309	000089088	000041149		000000000
06	077	San Joaquin County	000480628	000159413	000031293	000000405	000080228	000077922	000032961	000099598	000059815	000010662	000020162	000000874	000000000	000000000	000000000	000000000	000000000	000191111	000066023	000019248		000000000
06	079	San Luis Obispo County	000217162	000087038	000008367	000000283	000035237	000042578	000017873	000000000	000000000	000000000	000000000	000000000	000005142	000003169	000087377	000000000	000000000	000095688	000081956	000006336		000000000
06	081	San Mateo County	000649623	000201506	000143871	000001182	000063096	000272327	000011136	000079022	000202912	000029738	000034320	000000567	000000000	000000000	000000000	000000000	000000000	000346559	000094694	000032044		000000000
06	083	Santa Barbara County	000369608	000169022	000009703	000000533	000068450	000052853	000057955	000096688	000072334	000003979	000002513	000003744	000000000	000000000	000000000	000000000	000000000	000179258	000063800	000015845		000000000
06	085	Santa Clara County	001497577	000710365	000084118	000002122	000303974	000464654	000027977	000341912	000368453	000013619	000070835	000001786	000000000	000000000	000000000	000000000	000000000	000796605	000212155	000071156		000000000
06	087	Santa Cruz County	000229734	000089628	000025275	000000296	000030171	000067022	000018006	000032347	000057281	000011265	000013738	000000568	000000000	000000000	000000000	000000000	000000000	000115199	000035143	000009536		000000000
06	089	Shasta County	000147036	000053876	000003043	000000242	000023900	000009079	000024182	000037044	000016832	000000651	000000695	000001939	000000000	000000000	000000000	000000000	000000000	000057161	000027494	000004091		000000000
06	091	Sierra County	000003318	000000938	000000193	000000171	000000242	000000145	000000915	000000000	000000000	000000000	000000000	000000000	000000136	000000090	000001076	000000000	000000000	000001302	000000962	000000138		000000000
06	093	Siskiyou County	000043531	000015249	000000487	000000336	000005060	000002723	000008289	000000000	000000000	000000000	000000000	000000000	000000226	000000272	000015574	000000000	000000000	000016072	000013879	000000904		000000000
06	095	Solano County	000340421	000097477	000060465	000000771	000057144	000090912	000010657	000066660	000036309	000021690	000033702	000000352	000000000	000000000	000000000	000000000	000000000	000158713	000066666	000012600		000000000
06	097	Sonoma County	000388222	000155802	000034105	000000524	000056567	000083102	000050762	000084531	000071271	000012302	000021387	000000940	000000000	000000000	000000000	000000000	000000000	000190431	000089495	000012977		000000000
06	099	Stanislaus County	000370522	000122957	000024091	000000358	000055584	000059753	000032069	000074441	000048516	000006832	000016903	000000714	000000000	000000000	000000000	000000000	000000000	000147406	000059614	000009251		000000000
06	101	Sutter County	000064415	000015574	000010486	000000077	000006251	000012794	000007092	000010108	000011529	000002035	000001971	000000494	000000000	000000000	000000000	000000000	000000000	000026137	000010097	000001450		000000000
06	103	Tehama County	000049625	000013672	000003827	000000064	000003957	000003162	000010444	000000000	000000000	000000000	000000000	000000000	000001597	000001600	000014366	000000000	000000000	000017563	000014299	000001183		000000000
06	105	Trinity County	000013063	000003875	000000543	000000022	000001267	000001137	000002036	000000000	000000000	000000000	000000000	000000000	000000169	000000074	000004197	000000000	000000000	000004440	000003926	000000234		000000000
06	107	Tulare County	000311921	000103156	000013179	000000198	000042373	000038435	000035725	000062163	000040993	000002881	000008000	000002496	000000000	000000000	000000000	000000000	000000000	000116533	000055637	000009841		000000000
06	109	Tuolumne County	000048456	000015027	000002213	000000052	000002457	000007362	000007473	000000000	000000000	000000000	000000000	000000000	000000684	000000996	000015612	000000000	000000000	000017292	000014725	000001059		000000000
06	111	Ventura County	000669016	000250348	000083721	000001117	000117435	000190902	000026849	000095549	000154799	000052557	000031069	000001212	000000000	000000000	000000000	000000000	000000000	000335186	000136371	000022342		000000000
06	113	Yolo County	000141092	000043130	000021206	000000219	000027643	000028515	000008397	000042632	000017281	000001501	000002867	000000274	000000000	000000000	000000000	000000000	000000000	000064555	000020656	000004233		000000000
06	115	Yuba County	000058228	000012926	000007656	000000107	000005674	000010495	000004520	000003383	000013870	000001317	000001638	000000481	000000000	000000000	000000000	000000000	000000000	000020689	000008065	000001222		000000000
