

METROPOLITAN AREAS AND COMPONENTS, 1998, WITH FIPS CODES

(Metropolitan areas defined by Office of Management and Budget, 6/30/98)

Source:			U.S. Census Bureau
Internet Release date:	July 1996
Revised date:		November 3, 1998 

The file layout is located at the end of the data file.

GUIDE TO FIPS CODES:
     MSA= Metropolitan Statistical Area
     CMSA= Consolidated Metropolitan Statistical Area  
     PMSA= Primary Metropolitan Statistical Area
     ALT. CM= Alternative Consolidated Metropolitan Statistical Area
     SS= State
     CCC= County
     EEEEE= Entity (city/town)

MSA/		ALT.
CMSA	PMSA	CM	SS	CCC	F	EEEEE	Metropolitan Area and Components
1602	1600	14					   Chicago, IL PMSA
1602	1600	14	17	031	1		     Cook County
1602	1600	14	17	037	2		     DeKalb County
1602	1600	14	17	043	1		     DuPage County
1602	1600	14	17	063	2		     Grundy County
1602	1600	14	17	089	1		     Kane County
1602	1600	14	17	093	2		     Kendall County
1602	1600	14	17	097	1		     Lake County
1602	1600	14	17	111	1		     McHenry County
1602	1600	14	17	197	1		     Will County
1602	2960	14					   Gary, IN PMSA
1602	2960	14	18	089	1		     Lake County
1602	2960	14	18	127	2		     Porter County
1602	3740	14					   Kankakee, IL PMSA
1602	3740	14	17	091	1		     Kankakee County
1602	3800	14					   Kenosha, WI PMSA
1602	3800	14	55	059	1		     Kenosha County

1620							Chico-Paradise, CA MSA
1620			06	007	1		     Butte County

1642		21					Cincinnati-Hamilton, OH-KY-IN CMSA
1642	1640	21					   Cincinnati, OH-KY-IN PMSA
1642	1640	21	18	029	2		     Dearborn County, IN
1642	1640	21	18	115	2		     Ohio County, IN
1642	1640	21	21	015	1		     Boone County, KY
1642	1640	21	21	037	1		     Campbell County, KY
1642	1640	21	21	077	2		     Gallatin County, KY
1642	1640	21	21	081	2		     Grant County, KY
1642	1640	21	21	117	1		     Kenton County, KY
1642	1640	21	21	191	2		     Pendleton County, KY
1642	1640	21	39	015	2		     Brown County, OH
1642	1640	21	39	025	1		     Clermont County, OH
1642	1640	21	39	061	1		     Hamilton County, OH
1642	1640	21	39	165	2		     Warren County, OH
1642	3200	21					   Hamilton-Middletown, OH PMSA
1642	3200	21	39	017	1		     Butler County

1660							Clarksville-Hopkinsville, TN-KY MSA
1660			21	047	2		     Christian County, KY
1660			47	125	1		     Montgomery County, TN

1692		28					Cleveland-Akron, OH CMSA
1692	0080	28					   Akron, OH PMSA
1692	0080	28	39	133	1		     Portage County
1692	0080	28	39	153	1		     Summit County
1692	1680	28					   Cleveland-Lorain-Elyria, OH PMSA
1692	1680	28	39	007	2		     Ashtabula County
1692	1680	28	39	035	1		     Cuyahoga County
1692	1680	28	39	055	2		     Geauga County
1692	1680	28	39	085	1		     Lake County
1692	1680	28	39	093	1		     Lorain County
1692	1680	28	39	103	2		     Medina County

1720							Colorado Springs, CO MSA
1720			08	041	1		     El Paso County

1740							Columbia, MO MSA
1740			29	019	1		     Boone County

1760							Columbia, SC MSA
1760			45	063	1		     Lexington County
1760			45	079	1		     Richland County

1800							Columbus, GA-AL MSA
1800			01	113	1		     Russell County, AL
1800			13	053	1		     Chattahoochee County, GA
1800			13	145	2		     Harris County, GA
1800			13	215	1		     Muscogee County, GA

1840							Columbus, OH MSA
1840			39	041	2		     Delaware County
1840			39	045	2		     Fairfield County
1840			39	049	1		     Franklin County
1840			39	089	1		     Licking County
1840			39	097	2		     Madison County
1840			39	129	2		     Pickaway County

1880							Corpus Christi, TX MSA
1880			48	355	1		     Nueces County
1880			48	409	2		     San Patricio County

1900							Cumberland, MD-WV MSA
1900			24	001	1		     Allegany County, MD
1900			54	057	2		     Mineral County, WV

1922		31					Dallas-Fort Worth, TX CMSA
1922	1920	31					   Dallas, TX PMSA
1922	1920	31	48	085	1		     Collin County
1922	1920	31	48	113	1		     Dallas County
1922	1920	31	48	121	1		     Denton County
1922	1920	31	48	139	2		     Ellis County
1922	1920	31	48	213	2		     Henderson County
1922	1920	31	48	231	2		     Hunt County
1922	1920	31	48	257	2		     Kaufman County
1922	1920	31	48	397	1		     Rockwall County
1922	2800	31					   Fort Worth-Arlington, TX PMSA
1922	2800	31	48	221	2		     Hood County
1922	2800	31	48	251	2		     Johnson County
1922	2800	31	48	367	2		     Parker County
1922	2800	31	48	439	1		     Tarrant County

1950							Danville, VA MSA
1950			51	143	1		     Pittsylvania County
1950			51	590	1		     Danville city

1960							Davenport-Moline-Rock Island, IA-IL MSA
1960			17	073	2		     Henry County, IL
1960			17	161	1		     Rock Island County, IL
1960			19	163	1		     Scott County, IA

2000							Dayton-Springfield, OH MSA
2000			39	023	1		     Clark County
2000			39	057	1		     Greene County
2000			39	109	2		     Miami County
2000			39	113	1		     Montgomery County

2020							Daytona Beach, FL MSA
2020			12	035	2		     Flagler County
2020			12	127	1		     Volusia County

2030							Decatur, AL MSA
2030			01	079	2		     Lawrence County
2030			01	103	1		     Morgan County

2040							Decatur, IL MSA
2040			17	115	1		     Macon County

2082		34					Denver-Boulder-Greeley, CO CMSA
2082	1125	34					   Boulder-Longmont, CO PMSA
2082	1125	34	08	013	1		     Boulder County
2082	2080	34					   Denver, CO PMSA
2082	2080	34	08	001	1		     Adams County
2082	2080	34	08	005	1		     Arapahoe County
2082	2080	34	08	031	1		     Denver County
2082	2080	34	08	035	2		     Douglas County
2082	2080	34	08	059	1		     Jefferson County
2082	3060	34					   Greeley, CO PMSA
2082	3060	34	08	123	1		     Weld County

2120							Des Moines, IA MSA
2120			19	049	2		     Dallas County
2120			19	153	1		     Polk County
2120			19	181	2		     Warren County

2162		35					Detroit-Ann Arbor-Flint, MI CMSA
2162	0440	35					   Ann Arbor, MI PMSA
2162	0440	35	26	091	2		     Lenawee County
2162	0440	35	26	093	2		     Livingston County
2162	0440	35	26	161	1		     Washtenaw County
2162	2160	35					   Detroit, MI PMSA
2162	2160	35	26	087	2		     Lapeer County
2162	2160	35	26	099	1		     Macomb County
2162	2160	35	26	115	2		     Monroe County
2162	2160	35	26	125	1		     Oakland County
2162	2160	35	26	147	1		     St. Clair County
2162	2160	35	26	163	1		     Wayne County
2162	2640	35					   Flint, MI PMSA
2162	2640	35	26	049	1		     Genesee County

2180							Dothan, AL MSA
2180			01	045	2		     Dale County
2180			01	069	1		     Houston County

2190							Dover, DE MSA
2190			10	001	1		     Kent County

2200							Dubuque, IA MSA
2200			19	061	1		     Dubuque County

2240							Duluth-Superior, MN-WI MSA
2240			27	137	1		     St. Louis County, MN
2240			55	031	1		     Douglas County, WI

2290							Eau Claire, WI MSA
2290			55	017	2		     Chippewa County
2290			55	035	1		     Eau Claire County

2320							El Paso, TX MSA
2320			48	141	1		     El Paso County

2330							Elkhart-Goshen, IN MSA
2330			18	039	1		     Elkhart County

2335							Elmira, NY MSA
2335			36	015	1		     Chemung County

2340							Enid, OK MSA
2340			40	047	1		     Garfield County

2360							Erie, PA MSA
2360			42	049	1		     Erie County

2400							Eugene-Springfield, OR MSA
2400			41	039	1		     Lane County

2440							Evansville-Henderson, IN-KY MSA
2440			18	129	2		     Posey County, IN
2440			18	163	1		     Vanderburgh County, IN
2440			18	173	2		     Warrick County, IN
2440			21	101	1		     Henderson County, KY

2520							Fargo-Moorhead, ND-MN MSA
2520			27	027	1		     Clay County, MN
2520			38	017	1		     Cass County, ND

2560							Fayetteville, NC MSA
2560			37	051	1		     Cumberland County

2580							Fayetteville-Springdale-Rogers, AR MSA
2580			05	007	2		     Benton County
2580			05	143	1		     Washington County

2620							Flagstaff, AZ-UT MSA
2620			04	005	1		     Coconino County, AZ
2620			49	025	2		     Kane County, UT

2650							Florence, AL MSA
2650			01	033	1		     Colbert County
2650			01	077	1		     Lauderdale County

2655							Florence, SC MSA
2655			45	041	1		     Florence County

2670							Fort Collins-Loveland, CO MSA
2670			08	069	1		     Larimer County

2700							Fort Myers-Cape Coral, FL MSA
2700			12	071	1		     Lee County

2710							Fort Pierce-Port St. Lucie, FL MSA
2710			12	085	1		     Martin County
2710			12	111	1		     St. Lucie County

2720							Fort Smith, AR-OK MSA
2720			05	033	2		     Crawford County, AR
2720			05	131	1		     Sebastian County, AR
2720			40	135	2		     Sequoyah County, OK

2750							Fort Walton Beach, FL MSA
2750			12	091	1		     Okaloosa County

2760							Fort Wayne, IN MSA
2760			18	001	2		     Adams County
2760			18	003	1		     Allen County
2760			18	033	2		     DeKalb County
2760			18	069	2		     Huntington County
2760			18	179	2		     Wells County
2760			18	183	2		     Whitley County

2840							Fresno, CA MSA
2840			06	019	1		     Fresno County
2840			06	039	2		     Madera County

2880							Gadsden, AL MSA
2880			01	055	1		     Etowah County

2900							Gainesville, FL MSA
2900			12	001	1		     Alachua County

2975							Glens Falls, NY MSA
2975			36	113	1		     Warren County
2975			36	115	2		     Washington County

2980							Goldsboro, NC MSA
2980			37	191	1		     Wayne County

2985							Grand Forks, ND-MN MSA
2985			27	119	2		     Polk County, MN
2985			38	035	1		     Grand Forks County, ND

2995							Grand Junction, CO MSA
2995			08	077	1		     Mesa County

3000							Grand Rapids-Muskegon-Holland, MI MSA
3000			26	005	2		     Allegan County
3000			26	081	1		     Kent County
3000			26	121	1		     Muskegon County
3000			26	139	1		     Ottawa County

3040							Great Falls, MT MSA
3040			30	013	1		     Cascade County

3080							Green Bay, WI MSA
3080			55	009	1		     Brown County

3120							Greensboro--Winston-Salem--High Point, NC MSA
3120			37	001	1		     Alamance County
3120			37	057	2		     Davidson County
3120			37	059	2		     Davie County
3120			37	067	1		     Forsyth County
3120			37	081	1		     Guilford County
3120			37	151	2		     Randolph County
3120			37	169	2		     Stokes County
3120			37	197	2		     Yadkin County

3150							Greenville, NC MSA
3150			37	147	1		     Pitt County

3160							Greenville-Spartanburg-Anderson, SC MSA
3160			45	007	1		     Anderson County
3160			45	021	2		     Cherokee County
3160			45	045	1		     Greenville County
3160			45	077	2		     Pickens County
3160			45	083	1		     Spartanburg County

3240							Harrisburg-Lebanon-Carlisle, PA MSA
3240			42	041	2		     Cumberland County
3240			42	043	1		     Dauphin County
3240			42	075	2		     Lebanon County
3240			42	099	2		     Perry County

3280							Hartford, CT MSA
3280			09	003			     Hartford County (pt.)
3280			09	003	1	02060	        Avon town
3280			09	003	1	04300	        Berlin town
3280			09	003	1	05910	        Bloomfield town
3280			09	003	1	08420	        Bristol city
3280			09	003	2	10100	        Burlington town
3280			09	003	2	12270	        Canton town
3280			09	003	2	22070	        East Granby town
3280			09	003	1	22630	        East Hartford town
3280			09	003	2	24800	        East Windsor town
3280			09	003	2	25990	        Enfield town
3280			09	003	1	27600	        Farmington town
3280			09	003	1	31240	        Glastonbury town
3280			09	003	2	32640	        Granby town
3280			09	003	1	37000	        Hartford city
3280			09	003	1	44700	        Manchester town
3280			09	003	2	45820	        Marlborough town
3280			09	003	1	50370	        New Britain city
3280			09	003	1	52140	        Newington town
3280			09	003	1	60120	        Plainville town
3280			09	003	1	65370	        Rocky Hill town
3280			09	003	2	68940	        Simsbury town
3280			09	003	1	70550	        Southington town
3280			09	003	1	71390	        South Windsor town
3280			09	003	2	74540	        Suffield town
3280			09	003	1	82590	        West Hartford town
3280			09	003	1	84900	        Wethersfield town
3280			09	003	1	87000	        Windsor town
3280			09	003	2	87070	        Windsor Locks town
3280			09	005			     Litchfield County (pt.)
3280			09	005	2	02760	        Barkhamsted town
3280			09	005	2	37280	        Harwinton town
3280			09	005	2	51350	        New Hartford town
3280			09	005	2	60750	        Plymouth town
3280			09	005	2	86440	        Winchester town
3280			09	007			     Middlesex County (pt.)
3280			09	007	1	18080	        Cromwell town
3280			09	007	2	20810	        Durham town
3280			09	007	2	22280	        East Haddam town
3280			09	007	2	22490	        East Hampton town
3280			09	007	2	35230	        Haddam town
3280			09	007	1	47080	        Middlefield town
3280			09	007	1	47290	        Middletown city
3280			09	007	1	61800	        Portland town
3280			09	011			     New London County (pt.)
3280			09	011	2	15910	        Colchester town
3280			09	011	2	42390	        Lebanon town
3280			09	013			     Tolland County (pt.)
3280			09	013	2	01080	        Andover town
3280			09	013	2	06260	        Bolton town
3280			09	013	2	16400	        Columbia town
3280			09	013	2	17800	        Coventry town
3280			09	013	2	25360	        Ellington town
3280			09	013	2	37910	        Hebron town
3280			09	013	2	44910	        Mansfield town
3280			09	013	2	69220	        Somers town
3280			09	013	2	72090	        Stafford town
3280			09	013	2	76290	        Tolland town
3280			09	013	1	78250	        Vernon town
3280			09	013	2	85950	        Willington town
3280			09	015			     Windham County (pt.)
3280			09	015	2	01430	        Ashford town
3280			09	015	2	13810	        Chaplin town
3280			09	015	2	86790	        Windham town

3285							Hattiesburg, MS MSA
3285			28	035	1		     Forrest County
3285			28	073	2		     Lamar County

3290							Hickory-Morganton-Lenoir, NC MSA
3290			37	003	2		     Alexander County
3290			37	023	2		     Burke County
3290			37	027	2		     Caldwell County
3290			37	035	1		     Catawba County

3320							Honolulu, HI MSA
3320			15	003	1		     Honolulu County

3350							Houma, LA MSA
3350			22	057	2		     Lafourche Parish
3350			22	109	1		     Terrebonne Parish

3362		42					Houston-Galveston-Brazoria, TX CMSA
3362	1145	42					   Brazoria, TX PMSA
3362	1145	42	48	039	2		     Brazoria County
3362	2920	42					   Galveston-Texas City, TX PMSA
3362	2920	42	48	167	1		     Galveston County
3362	3360	42					   Houston, TX PMSA
3362	3360	42	48	071	2		     Chambers County
3362	3360	42	48	157	1		     Fort Bend County
3362	3360	42	48	201	1		     Harris County
3362	3360	42	48	291	2		     Liberty County
3362	3360	42	48	339	2		     Montgomery County
3362	3360	42	48	473	2		     Waller County

3400							Huntington-Ashland, WV-KY-OH MSA
3400			21	019	1		     Boyd County, KY
3400			21	043	2		     Carter County, KY
3400			21	089	2		     Greenup County, KY
3400			39	087	1		     Lawrence County, OH
3400			54	011	1		     Cabell County, WV
3400			54	099	2		     Wayne County, WV

3440							Huntsville, AL MSA
3440			01	083	2		     Limestone County
3440			01	089	1		     Madison County

3480							Indianapolis, IN MSA
3480			18	011	2		     Boone County
3480			18	057	1		     Hamilton County
3480			18	059	2		     Hancock County
3480			18	063	2		     Hendricks County
3480			18	081	1		     Johnson County
3480			18	095	1		     Madison County
3480			18	097	1		     Marion County
3480			18	109	2		     Morgan County
3480			18	145	2		     Shelby County

3500							Iowa City, IA MSA
3500			19	103	1		     Johnson County

3520							Jackson, MI MSA
3520			26	075	1		     Jackson County

3560							Jackson, MS MSA
3560			28	049	1		     Hinds County
3560			28	089	2		     Madison County
3560			28	121	1		     Rankin County

3580							Jackson, TN MSA
3580			47	023	2		     Chester County
3580			47	113	1		     Madison County

3600							Jacksonville, FL MSA
3600			12	019	1		     Clay County
3600			12	031	1		     Duval County
3600			12	089	2		     Nassau County
3600			12	109	2		     St. Johns County

3605							Jacksonville, NC MSA
3605			37	133	1		     Onslow County

3610							Jamestown, NY MSA
3610			36	013	1		     Chautauqua County

3620							Janesville-Beloit, WI MSA
3620			55	105	1		     Rock County

3660							Johnson City-Kingsport-Bristol, TN-VA MSA
3660			47	019	1		     Carter County, TN
3660			47	073	2		     Hawkins County, TN
3660			47	163	1		     Sullivan County, TN
3660			47	171	2		     Unicoi County, TN
3660			47	179	1		     Washington County, TN
3660			51	169	2		     Scott County, VA
3660			51	191	1		     Washington County, VA
3660			51	520	1		     Bristol city, VA

3680							Johnstown, PA MSA
3680			42	021	1		     Cambria County
3680			42	111	2		     Somerset County

3700							Jonesboro, AR MSA
3700			05	031	1		     Craighead County

3710							Joplin, MO MSA
3710			29	097	1		     Jasper County
3710			29	145	2		     Newton County

3720							Kalamazoo-Battle Creek, MI MSA
3720			26	025	1		     Calhoun County
3720			26	077	1		     Kalamazoo County
3720			26	159	2		     Van Buren County

3760							Kansas City, MO-KS MSA
3760			20	091	1		     Johnson County, KS
3760			20	103	2		     Leavenworth County, KS
3760			20	121	2		     Miami County, KS
3760			20	209	1		     Wyandotte County, KS
3760			29	037	2		     Cass County, MO
3760			29	047	1		     Clay County, MO
3760			29	049	2		     Clinton County, MO
3760			29	095	1		     Jackson County, MO
3760			29	107	2		     Lafayette County, MO
3760			29	165	1		     Platte County, MO
3760			29	177	2		     Ray County, MO

3810							Killeen-Temple, TX MSA
3810			48	027	1		     Bell County
3810			48	099	1		     Coryell County
					
3840							Knoxville, TN MSA
3840			47	001	2		     Anderson County
3840			47	009	2		     Blount County
3840			47	093	1		     Knox County
3840			47	105	2		     Loudon County
3840			47	155	2		     Sevier County
3840			47	173	2		     Union County

3850							Kokomo, IN MSA
3850			18	067	1		     Howard County
3850			18	159	2		     Tipton County

3870							La Crosse, WI-MN MSA
3870			27	055	2		     Houston County, MN
3870			55	063	1		     La Crosse County, WI

3880							Lafayette, LA MSA
3880			22	001	2		     Acadia Parish
3880			22	055	1		     Lafayette Parish
3880			22	097	2		     St. Landry Parish
3880			22	099	2		     St. Martin Parish

3920							Lafayette, IN MSA
3920			18	023	2		     Clinton County
3920			18	157	1		     Tippecanoe County

3960							Lake Charles, LA MSA
3960			22	019	1		     Calcasieu Parish

3980							Lakeland-Winter Haven, FL MSA
3980			12	105	1		     Polk County

4000							Lancaster, PA MSA
4000			42	071	1		     Lancaster County

4040							Lansing-East Lansing, MI MSA
4040			26	037	2		     Clinton County
4040			26	045	2		     Eaton County
4040			26	065	1		     Ingham County

4080							Laredo, TX MSA
4080			48	479	1		     Webb County

4100							Las Cruces, NM MSA
4100			35	013	1		     Dona Ana County

4120							Las Vegas, NV-AZ MSA
4120			04	015	2		     Mohave County, AZ
4120			32	003	1		     Clark County, NV
4120			32	023	2		     Nye County, NV

4150							Lawrence, KS MSA
4150			20	045	1		     Douglas County

4200							Lawton, OK MSA
4200			40	031	1		     Comanche County

4240							Lewiston-Auburn, ME MSA
4240			23	001			     Androscoggin County (pt.)
4240			23	001	1	02060	        Auburn city
4240			23	001	2	29255	        Greene town
4240			23	001	1	38740	        Lewiston city
4240			23	001	1	40035	        Lisbon town
4240			23	001	2	44585	        Mechanic Falls town
4240			23	001	2	60020	        Poland town
4240			23	001	2	64570	        Sabattus town
4240			23	001	2	77800	        Turner town
4240			23	001	2	79585	        Wales town

4280							Lexington, KY MSA
4280			21	017	2		     Bourbon County
4280			21	049	2		     Clark County
4280			21	067	1		     Fayette County
4280			21	113	2		     Jessamine County
4280			21	151	2		     Madison County
4280			21	209	2		     Scott County
4280			21	239	2		     Woodford County

4320							Lima, OH MSA
4320			39	003	1		     Allen County
4320			39	011	2		     Auglaize County

4360							Lincoln, NE MSA
4360			31	109	1		     Lancaster County

4400							Little Rock-North Little Rock, AR MSA
4400			05	045	2		     Faulkner County
4400			05	085	2		     Lonoke County
4400			05	119	1		     Pulaski County
4400			05	125	2		     Saline County

4420							Longview-Marshall, TX MSA
4420			48	183	1		     Gregg County
4420			48	203	2		     Harrison County
4420			48	459	2		     Upshur County

4472		49					Los Angeles-Riverside-Orange County, CA CMSA
4472	4480	49					   Los Angeles-Long Beach, CA PMSA
4472	4480	49	06	037	1		     Los Angeles County
4472	5945	49					   Orange County, CA PMSA
4472	5945	49	06	059	1		     Orange County
4472	6780	49					   Riverside-San Bernardino, CA PMSA
4472	6780	49	06	065	1		     Riverside County
4472	6780	49	06	071	1		     San Bernardino County
4472	8735	49					   Ventura, CA PMSA
4472	8735	49	06	111	1		     Ventura County

4520							Louisville, KY-IN MSA
4520			18	019	1		     Clark County, IN
4520			18	043	1		     Floyd County, IN
4520			18	061	2		     Harrison County, IN
4520			18	143	2		     Scott County, IN
4520			21	029	2		     Bullitt County, KY
4520			21	111	1		     Jefferson County, KY
4520			21	185	2		     Oldham County, KY

4600							Lubbock, TX MSA
4600			48	303	1		     Lubbock County

4640							Lynchburg, VA MSA
4640			51	009	2		     Amherst County
4640			51	019	2		     Bedford County
4640			51	031	1		     Campbell County
4640			51	515	2		     Bedford city
4640			51	680	1		     Lynchburg city

4680							Macon, GA MSA
4680			13	021	1		     Bibb County
4680			13	153	1		     Houston County
4680			13	169	2		     Jones County
4680			13	225	2		     Peach County
4680			13	289	2		     Twiggs County

4720							Madison, WI MSA
4720			55	025	1		     Dane County

4800							Mansfield, OH MSA
4800			39	033	2		     Crawford County
4800			39	139	1		     Richland County

4840							Mayaguez, PR MSA
4840			72	011	2		     Anasco Municipio
4840			72	023	2		     Cabo Rojo Municipio
4840			72	067	1		     Hormigueros Municipio
4840			72	097	1		     Mayaguez Municipio
4840			72	121	2		     Sabana Grande Municipio
4840			72	125	2		     San German Municipio

4880							McAllen-Edinburg-Mission, TX MSA
4880			48	215	1		     Hidalgo County

4890							Medford-Ashland, OR MSA
4890			41	029	1		     Jackson County

4900							Melbourne-Titusville-Palm Bay, FL MSA
4900			12	009	1		     Brevard County

4920							Memphis, TN-AR-MS MSA
4920			05	035	1		     Crittenden County, AR
4920			28	033	2		     DeSoto County, MS
4920			47	047	2		     Fayette County, TN
4920			47	157	1		     Shelby County, TN
4920			47	167	2		     Tipton County, TN

4940							Merced, CA MSA
4940			06	047	1		     Merced County

4992		56					Miami-Fort Lauderdale, FL CMSA
4992	2680	56					   Fort Lauderdale, FL PMSA
4992	2680	56	12	011	1		     Broward County
4992	5000	56					   Miami, FL PMSA
4992	5000	56	12	025	1		     Dade County

5082		63					Milwaukee-Racine, WI CMSA
5082	5080	63					   Milwaukee-Waukesha, WI PMSA
5082	5080	63	55	079	1		     Milwaukee County
5082	5080	63	55	089	1		     Ozaukee County
5082	5080	63	55	131	2		     Washington County
5082	5080	63	55	133	1		     Waukesha County
5082	6600	63					   Racine, WI PMSA
5082	6600	63	55	101	1		     Racine County

5120							Minneapolis-St. Paul, MN-WI MSA
5120			27	003	1		     Anoka County, MN
5120			27	019	2		     Carver County, MN
5120			27	025	2		     Chisago County, MN
5120			27	037	1		     Dakota County, MN
5120			27	053	1		     Hennepin County, MN
5120			27	059	2		     Isanti County, MN
5120			27	123	1		     Ramsey County, MN
5120			27	139	2		     Scott County, MN
5120			27	141	2		     Sherburne County, MN
5120			27	163	1		     Washington County, MN
5120			27	171	2		     Wright County, MN
5120			55	093	2		     Pierce County, WI
5120			55	109	2		     St. Croix County, WI

5140							Missoula, MT MSA
5140			30	063	1		     Missoula County, MT

5160							Mobile, AL MSA
5160			01	003	2		     Baldwin County
5160			01	097	1		     Mobile County

5170							Modesto, CA MSA
5170			06	099	1		     Stanislaus County

5200							Monroe, LA MSA
5200			22	073	1		     Ouachita Parish

5240							Montgomery, AL MSA
5240			01	001	1		     Autauga County
5240			01	051	2		     Elmore County
5240			01	101	1		     Montgomery County

5280							Muncie, IN MSA
5280			18	035	1		     Delaware County

5330							Myrtle Beach, SC MSA
5330			45	051	1		     Horry County

5345							Naples, FL MSA
5345			12	021	1		     Collier County

5360							Nashville, TN MSA
5360			47	021	2		     Cheatham County
5360			47	037	1		     Davidson County
5360			47	043	2		     Dickson County
5360			47	147	2		     Robertson County
5360			47	149	2		     Rutherford County
5360			47	165	2		     Sumner County
5360			47	187	2		     Williamson County
5360			47	189	2		     Wilson County

5520							New London-Norwich, CT-RI MSA
5520			09	007			     Middlesex County, CT (pt.)
5520			09	007	2	57320	        Old Saybrook town
5520			09	011			     New London County, CT (pt.)
5520			09	011	2	06820	        Bozrah town
5520			09	011	1	23400	        East Lyme town
5520			09	011	2	29910	        Franklin town
5520			09	011	2	33900	        Griswold town
5520			09	011	1	34250	        Groton town
5520			09	011	2	42600	        Ledyard town
5520			09	011	2	43230	        Lisbon town
5520			09	011	1	48900	        Montville town
5520			09	011	1	52280	        New London city
5520			09	011	2	55500	        North Stonington town
5520			09	011	1	56200	        Norwich city
5520			09	011	2	57040	        Old Lyme town
5520			09	011	2	62150	        Preston town
5520			09	011	2	66210	        Salem town
5520			09	011	2	71670	        Sprague town
5520			09	011	2	73770	        Stonington town
5520			09	011	1	80280	        Waterford town
5520			09	015			     Windham County, CT (pt.)
5520			09	015	2	12130	        Canterbury town
5520			09	015	2	59980	        Plainfield town
5520			44	009			     Washington County, RI (pt.)
5520			44	009	2	35380	        Hopkinton town
5520			44	009	2	77000	        Westerly town

5560							New Orleans, LA MSA
5560			22	051	1		     Jefferson Parish
5560			22	071	1		     Orleans Parish
5560			22	075	2		     Plaquemines Parish
5560			22	087	1		     St. Bernard Parish
5560			22	089	1		     St. Charles Parish
5560			22	093	2		     St. James Parish
5560			22	095	2		     St. John the Baptist Parish
5560			22	103	1		     St. Tammany Parish

5602		70					New York-Northern New Jersey-Long Island, NY-NJ-CT-PA CMSA
5602	0875	70					   Bergen-Passaic, NJ PMSA
5602	0875	70	34	003	1		     Bergen County
5602	0875	70	34	031	1		     Passaic County
5602	1160	70					   Bridgeport, CT PMSA
5602	1160	70	09	001			     Fairfield County (pt.)
5602	1160	70	09	001	1	08000	        Bridgeport city
5602	1160	70	09	001	2	23890	        Easton town
5602	1160	70	09	001	1	26620	        Fairfield town
5602	1160	70	09	001	1	48620	        Monroe town
5602	1160	70	09	001	1	68100	        Shelton city
5602	1160	70	09	001	1	74190	        Stratford town
5602	1160	70	09	001	1	77200	        Trumbull town
5602	1160	70	09	009			     New Haven County (pt.)
5602	1160	70	09	009	1	01150	        Ansonia city
5602	1160	70	09	009	2	03250	        Beacon Falls town
5602	1160	70	09	009	1	19480	        Derby city
5602	1160	70	09	009	1	47500	        Milford city
5602	1160	70	09	009	2	58300	        Oxford town
5602	1160	70	09	009	1	67610	        Seymour town
5602	1930	70					   Danbury, CT PMSA
5602	1930	70	09	001			     Fairfield County (pt.)
5602	1930	70	09	001	1	04720	        Bethel town
5602	1930	70	09	001	1	08980	        Brookfield town
5602	1930	70	09	001	1	18430	        Danbury city
5602	1930	70	09	001	1	50860	        New Fairfield town
5602	1930	70	09	001	2	52980	        Newtown town
5602	1930	70	09	001	2	63480	        Redding town
5602	1930	70	09	001	2	63970	        Ridgefield town
5602	1930	70	09	001	2	68310	        Sherman town
5602	1930	70	09	005			     Litchfield County (pt.)
5602	1930	70	09	005	2	08210	        Bridgewater town
5602	1930	70	09	005	2	52630	        New Milford town
5602	1930	70	09	005	2	65930	        Roxbury town
5602	1930	70	09	005	2	79720	        Washington town
5602	2281	70					   Dutchess County, NY PMSA
5602	2281	70	36	027	1		     Dutchess County
5602	3640	70					   Jersey City, NJ PMSA
5602	3640	70	34	017	1		     Hudson County
5602	5015	70					   Middlesex-Somerset-Hunterdon, NJ PMSA
5602	5015	70	34	019	2		     Hunterdon County
5602	5015	70	34	023	1		     Middlesex County
5602	5015	70	34	035	1		     Somerset County
5602	5190	70					   Monmouth-Ocean, NJ PMSA
5602	5190	70	34	025	1		     Monmouth County
5602	5190	70	34	029	1		     Ocean County
5602	5380	70					   Nassau-Suffolk, NY PMSA
5602	5380	70	36	059	1		     Nassau County
5602	5380	70	36	103	1		     Suffolk County
5602	5480	70					   New Haven-Meriden, CT PMSA
5602	5480	70	09	007			     Middlesex County (pt.)
5602	5480	70	09	007	2	15350	        Clinton town
5602	5480	70	09	007	2	40710	        Killingworth town
5602	5480	70	09	009			     New Haven County (pt.)
5602	5480	70	09	009	2	04580	        Bethany town
5602	5480	70	09	009	1	07310	        Branford town
5602	5480	70	09	009	1	14160	        Cheshire town
5602	5480	70	09	009	1	22910	        East Haven town
5602	5480	70	09	009	2	34950	        Guilford town
5602	5480	70	09	009	1	35650	        Hamden town
5602	5480	70	09	009	2	44560	        Madison town
5602	5480	70	09	009	1	46450	        Meriden city
5602	5480	70	09	009	1	52000	        New Haven city
5602	5480	70	09	009	1	53890	        North Branford town
5602	5480	70	09	009	1	54870	        North Haven town
5602	5480	70	09	009	1	57600	        Orange town
5602	5480	70	09	009	1	78740	        Wallingford town
