

METROPOLITAN AREAS AND COMPONENTS, 1998, WITH FIPS CODES

(Metropolitan areas defined by Office of Management and Budget, 6/30/98)

Source:			U.S. Census Bureau
Internet Release date:	July 1996
Revised date:		November 3, 1998 

The file layout is located at the end of the data file.

GUIDE TO FIPS CODES:
     MSA= Metropolitan Statistical Area
     CMSA= Consolidated Metropolitan Statistical Area  
     PMSA= Primary Metropolitan Statistical Area
     ALT. CM= Alternative Consolidated Metropolitan Statistical Area
     SS= State
     CCC= County
     EEEEE= Entity (city/town)

MSA/		ALT.
CMSA	PMSA	CM	SS	CCC	F	EEEEE	Metropolitan Area and Components
1122	1120	07	25	009	2	21850	        Essex town
1122	1120	07	25	009	1	26150	        Gloucester city
1122	1120	07	25	009	1	27900	        Hamilton town
1122	1120	07	25	009	2	32310	        Ipswich town
1122	1120	07	25	009	1	37490	        Lynn city
1122	1120	07	25	009	1	37560	        Lynnfield town
1122	1120	07	25	009	1	37995	        Manchester-by-the-Sea town
1122	1120	07	25	009	1	38400	        Marblehead town
1122	1120	07	25	009	2	41095	        Middleton town
1122	1120	07	25	009	1	43580	        Nahant town
1122	1120	07	25	009	2	45175	        Newbury town
1122	1120	07	25	009	2	45245	        Newburyport city
1122	1120	07	25	009	1	52490	        Peabody city
1122	1120	07	25	009	1	57880	        Rockport town
1122	1120	07	25	009	2	58405	        Rowley town
1122	1120	07	25	009	1	59105	        Salem city
1122	1120	07	25	009	2	59245	        Salisbury town
1122	1120	07	25	009	1	60015	        Saugus town
1122	1120	07	25	009	1	68645	        Swampscott town
1122	1120	07	25	009	2	70150	        Topsfield town
1122	1120	07	25	009	1	74595	        Wenham town
1122	1120	07	25	017			     Middlesex County, MA (pt.)
1122	1120	07	25	017	1	00380	        Acton town
1122	1120	07	25	017	1	01605	        Arlington town
1122	1120	07	25	017	1	02130	        Ashland town
1122	1120	07	25	017	2	03005	        Ayer town
1122	1120	07	25	017	1	04615	        Bedford town
1122	1120	07	25	017	1	05070	        Belmont town
1122	1120	07	25	017	2	07350	        Boxborough town
1122	1120	07	25	017	1	09840	        Burlington town
1122	1120	07	25	017	1	11000	        Cambridge city
1122	1120	07	25	017	1	11525	        Carlisle town
1122	1120	07	25	017	1	15060	        Concord town
1122	1120	07	25	017	1	21990	        Everett city
1122	1120	07	25	017	1	24925	        Framingham town
1122	1120	07	25	017	1	30700	        Holliston town
1122	1120	07	25	017	2	31085	        Hopkinton town
1122	1120	07	25	017	1	31540	        Hudson town
1122	1120	07	25	017	1	35215	        Lexington town
1122	1120	07	25	017	1	35425	        Lincoln town
1122	1120	07	25	017	2	35950	        Littleton town
1122	1120	07	25	017	1	37875	        Malden city
1122	1120	07	25	017	1	38715	        Marlborough city
1122	1120	07	25	017	1	39625	        Maynard town
1122	1120	07	25	017	1	39835	        Medford city
1122	1120	07	25	017	1	40115	        Melrose city
1122	1120	07	25	017	1	43895	        Natick town
1122	1120	07	25	017	1	45560	        Newton city
1122	1120	07	25	017	1	48955	        North Reading town
1122	1120	07	25	017	1	56130	        Reading town
1122	1120	07	25	017	1	61380	        Sherborn town
1122	1120	07	25	017	2	61590	        Shirley town
1122	1120	07	25	017	1	62535	        Somerville city
1122	1120	07	25	017	1	67665	        Stoneham town
1122	1120	07	25	017	2	68050	        Stow town
1122	1120	07	25	017	1	68260	        Sudbury town
1122	1120	07	25	017	2	70360	        Townsend town
1122	1120	07	25	017	1	72215	        Wakefield town
1122	1120	07	25	017	1	72600	        Waltham city
1122	1120	07	25	017	1	73440	        Watertown city
1122	1120	07	25	017	1	73790	        Wayland town
1122	1120	07	25	017	1	77255	        Weston town
1122	1120	07	25	017	1	80230	        Wilmington town
1122	1120	07	25	017	1	80510	        Winchester town
1122	1120	07	25	017	1	81035	        Woburn city
1122	1120	07	25	021				Norfolk County, MA (pt.)
1122	1120	07	25	021	2	04930	        Bellingham town
1122	1120	07	25	021	1	07665	        Braintree town
1122	1120	07	25	021	1	09175	        Brookline town
1122	1120	07	25	021	1	11315	        Canton town
1122	1120	07	25	021	1	14640	        Cohasset town
1122	1120	07	25	021	1	16495	        Dedham town
1122	1120	07	25	021	1	17405	        Dover town
1122	1120	07	25	021	1	24820	        Foxborough town
1122	1120	07	25	021	1	25100	        Franklin city
1122	1120	07	25	021	1	30455	        Holbrook town
1122	1120	07	25	021	1	39765	        Medfield town
1122	1120	07	25	021	1	39975	        Medway town
1122	1120	07	25	021	1	41515	        Millis town
1122	1120	07	25	021	1	41690	        Milton town
1122	1120	07	25	021	1	44105	        Needham town
1122	1120	07	25	021	1	46050	        Norfolk town
1122	1120	07	25	021	1	50250	        Norwood town
1122	1120	07	25	021	2	54100	        Plainville town
1122	1120	07	25	021	1	55745	        Quincy city
1122	1120	07	25	021	1	55955	        Randolph town
1122	1120	07	25	021	1	60785	        Sharon town
1122	1120	07	25	021	1	67945	        Stoughton town
1122	1120	07	25	021	1	72495	        Walpole town
1122	1120	07	25	021	1	74175	        Wellesley town
1122	1120	07	25	021	1	78690	        Westwood town
1122	1120	07	25	021	1	78865	        Weymouth town
1122	1120	07	25	021	1	82315	        Wrentham town
1122	1120	07	25	023			     Plymouth County, MA (pt.)
1122	1120	07	25	023	2	11665	        Carver town
1122	1120	07	25	023	2	17895	        Duxbury town
1122	1120	07	25	023	1	28285	        Hanover town
1122	1120	07	25	023	1	30210	        Hingham town
1122	1120	07	25	023	1	31645	        Hull town
